BUILDING ADDRESS,BOROUGH,BUILDING IDENTIFICATION NUMBER,CONTROL NUMBER,EXTERIOR WALL TYPE,EXTERIOR WALL MATERIAL
147 WAVERLY PLACE,Manhattan,1010275,901301,OTHER,"MASONRY,NATURAL STONE,TERRA COTTA"
436 WEST 34 STREET,Manhattan,1012854,901491,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
21 7 AVENUE,Manhattan,1067315,901349,MASONRY CAVITY WALL,MASONRY
299 WEST 12 STREET,Manhattan,1011455,901386,OTHER,"MASONRY,NATURAL STONE,TERRA COTTA"
436 WEST 34 STREET,Manhattan,1012854,901471,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
405 WEST 23 STREET,Manhattan,1077236,901301,OTHER,"MASONRY,TERRA COTTA,OTHER,Limestone"
299 WEST 12 STREET,Manhattan,1011455,901349,MASONRY CAVITY WALL,MASONRY
21 7 AVENUE,Manhattan,1067315,901386,OTHER,"MASONRY,TERRA COTTA"
280 9 AVENUE,Manhattan,1082794,901521,MASONRY CAVITY WALL,MASONRY
365 WEST 28 STREET,Manhattan,1083605,901524,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
330 WEST 28 STREET,Manhattan,1082796,901521,MASONRY CAVITY WALL,MASONRY
345 8 AVENUE,Manhattan,1082793,901522,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
305 WEST 28 STREET,Manhattan,1083604,901525,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
520 8 AVENUE,Manhattan,1083624,901694,OTHER,MASONRY
315 WEST 39 STREET,Manhattan,1013683,901577,MASONRY LOAD-BEARING WALL,MASONRY
263 WEST 38 STREET,Manhattan,1014474,901724,OTHER,CAST STONE
500 8 AVENUE,Manhattan,1014421,901683,OTHER,MASONRY
356 WEST 34 STREET,Manhattan,1013554,901537,OTHER,MASONRY
114 WEST 30 STREET,Manhattan,1015148,901874,OTHER,OTHER
131 WEST 28 STREET,Manhattan,1015105,901861,OTHER,TERRA COTTA
209 WEST 38 STREET,Manhattan,1014480,901727,MASONRY LOAD-BEARING WALL,MASONRY
875 AVENUE OF THE AMERICAS,Manhattan,1015182,901886,MASONRY LOAD-BEARING WALL,MASONRY
158 WEST 29 STREET,Manhattan,1015134,901867,OTHER,MASONRY
525 SEVENTH AVENUE,Manhattan,1015264,901927,MASONRY LOAD-BEARING WALL,MASONRY
48 WEST 25 STREET,Manhattan,1015610,902063,OTHER,TERRA COTTA
15 WEST 21 STREET,Manhattan,1015531,902027,OTHER,MASONRY
12 WEST 21 STREET,Manhattan,1015502,902014,MASONRY LOAD-BEARING WALL,MASONRY
20 WEST 22 STREET,Manhattan,1015540,902031,MASONRY LOAD-BEARING WALL,MASONRY
12 WEST 27 STREET,Manhattan,1015658,902085,MASONRY LOAD-BEARING WALL,CAST IRON
18 WEST 27 STREET,Manhattan,1015659,902086,OTHER,MASONRY
46 WEST 29 STREET,Manhattan,1015744,902112,MASONRY LOAD-BEARING WALL,MASONRY
212 FIFTH AVENUE,Manhattan,1015624,902070,MASONRY LOAD-BEARING WALL,MASONRY
11 WEST 30 STREET,Manhattan,1015781,902125,MASONRY LOAD-BEARING WALL,MASONRY
39 WEST 37 STREET,Manhattan,1015961,902216,OTHER,MASONRY
28 WEST 36 STREET,Manhattan,1015904,902191,MASONRY LOAD-BEARING WALL,MASONRY
11 WEST 32 STREET,Manhattan,1015850,902158,MASONRY LOAD-BEARING WALL,CAST IRON
43 WEST 34 STREET,Manhattan,1015868,902168,CONCRETE FRAME,CONCRETE
